Time,Longitude,Latitude
2017-08-29 18:58:59,-106.2163995,39.9612159
2017-08-29 18:58:59,-106.2163995,39.9612159
2017-08-29 18:59:00,-106.2163994,39.9612159
2017-08-29 18:59:00,-106.2163994,39.9612159
2017-08-29 18:59:00,-106.2163994,39.9612159
2017-08-29 18:59:00,-106.2163994,39.9612159
2017-08-29 18:59:03,-106.2163992,39.9612161
2017-08-29 18:59:03,-106.2163992,39.9612161
2017-08-29 18:59:04,-106.2163992,39.9612161
2017-08-29 18:59:04,-106.2163992,39.9612161
2017-08-29 18:59:04,-106.2163991,39.9612161
2017-08-29 18:59:04,-106.2163992,39.9612161
2017-08-29 18:59:04,-106.2163992,39.9612161
2017-08-29 18:59:05,-106.2163992,39.9612162
2017-08-29 18:59:05,-106.2163992,39.9612161
2017-08-29 18:59:05,-106.2163992,39.9612162
2017-08-29 18:59:05,-106.2163992,39.9612162
2017-08-29 18:59:05,-106.2163992,39.9612162
2017-08-29 18:59:06,-106.2163992,39.9612162
2017-08-29 18:59:06,-106.2163993,39.9612162
2017-08-29 18:59:06,-106.2163993,39.9612162
2017-08-29 18:59:06,-106.2163993,39.9612162
2017-08-29 18:59:06,-106.2163993,39.9612162
2017-08-29 18:59:07,-106.2163993,39.9612162
2017-08-29 18:59:07,-106.2163993,39.9612162
2017-08-29 18:59:07,-106.2163994,39.9612162
2017-08-29 18:59:07,-106.2163994,39.9612161
2017-08-29 18:59:07,-106.2163994,39.9612162
2017-08-29 18:59:08,-106.2163994,39.9612162
2017-08-29 18:59:08,-106.2163994,39.9612162
2017-08-29 18:59:08,-106.2163994,39.9612162
2017-08-29 18:59:08,-106.2163994,39.9612162
2017-08-29 18:59:08,-106.2163994,39.9612162
2017-08-29 18:59:09,-106.2163994,39.9612162
2017-08-29 18:59:09,-106.2163994,39.9612162
2017-08-29 18:59:09,-106.2163994,39.9612162
2017-08-29 18:59:09,-106.2163994,39.9612162
2017-08-29 18:59:09,-106.2163994,39.9612162
2017-08-29 18:59:10,-106.2163995,39.9612162
2017-08-29 18:59:10,-106.2163995,39.9612163
2017-08-29 18:59:10,-106.2163995,39.9612162
2017-08-29 18:59:10,-106.2163995,39.9612163
2017-08-29 18:59:10,-106.2163996,39.9612163
2017-08-29 18:59:11,-106.2163996,39.9612163
2017-08-29 18:59:11,-106.2163997,39.9612163
2017-08-29 18:59:11,-106.2163997,39.9612163
2017-08-29 18:59:11,-106.2163998,39.9612163
2017-08-29 18:59:11,-106.2163998,39.9612163
2017-08-29 18:59:12,-106.2163998,39.9612163
2017-08-29 18:59:12,-106.2163997,39.9612163
2017-08-29 18:59:12,-106.2163997,39.9612164
2017-08-29 18:59:12,-106.2163997,39.9612164
